 ,
State,FL
County,Miami-Dade
"Fast-food restaurants, 2011",1568
"Fast-food restaurants, 2016",1690
"Fast-food restaurants (% change), 2011-16",7.780612
"Fast-food restaurants/1,000 pop, 2011",0.609753
"Fast-food restaurants/1,000 pop, 2016",0.617567
"Fast-food restaurants/1,000 pop (% change), 2011-16",1.281541
"Full-service restaurants, 2011",1855
"Full-service restaurants, 2016",2181
"Full-service restaurants (% change), 2011-16",17.574124
"Full-service restaurants/1,000 pop, 2011",0.72136
"Full-service restaurants/1,000 pop, 2016",0.796991
"Full-service restaurants/1,000 pop (% change), 2011-16",10.484514
"Expenditures per capita, fast food, 2007*",632.337378
"Expenditures per capita, fast food, 2012*",530.26759
"Expenditures per capita, restaurants, 2007*",919.513104
"Expenditures per capita, restaurants, 2012*",882.93518
